id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2484955080,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-sao-jorge-bairros-florianopolis-com-garagem-108m2-aluguel-RS3200-id-2484955080/,"Apartamento com 3 Quartos para Aluguel, 108m²","Parque São Jorge, Florianópolis - SC",108,3 Quartos,2 Banheiros,2 Vagas,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",R$ 3.200 /mês,R$ 412,Florianópolis,2021-05-24 01:53
2520889606,https://www.vivareal.com.br/imovel/apartamento-2-quartos-carvoeira-bairros-florianopolis-com-garagem-62m2-aluguel-RS1500-id-2520889606/,"Apartamento com 2 Quartos para Aluguel, 62m²","Rua Jornalista Tito Carvalho - Carvoeira, Florianópolis - SC",62,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.500 /mês,R$ 380,Florianópolis,2021-05-24 01:53
2517745784,https://www.vivareal.com.br/imovel/apartamento-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-56m2-aluguel-RS1500-id-2517745784/,"Apartamento com 2 Quartos para Aluguel, 56m²","Rodovia Virgílio Várzea - Canasvieiras, Florianópolis - SC",56,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.500 /mês,R$ 300,Florianópolis,2021-05-24 01:53
2517749523,https://www.vivareal.com.br/imovel/apartamento-1-quartos-santa-monica-bairros-florianopolis-20m2-aluguel-RS1340-id-2517749523/,"Apartamento com Quarto para Aluguel, 20m²","Rua Eurico Hosterno - Santa Mônica, Florianópolis - SC",20,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.340 /mês,,Florianópolis,2021-05-24 01:53
2507676214,https://www.vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-com-garagem-38m2-aluguel-RS350-id-2507676214/,"Apartamento com Quarto para Aluguel, 38m²","Canasvieiras, Florianópolis - SC",38,1 Quarto,1 Banheiro,1 Vaga,,R$ 350 /dia,,Florianópolis,2021-05-24 01:53
2506467077,https://www.vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-50m2-aluguel-RS250-id-2506467077/,"Apartamento com Quarto para Aluguel, 50m²","Canasvieiras, Florianópolis - SC",50,1 Quarto,1 Banheiro,-- Vaga,,R$ 250 /dia,,Florianópolis,2021-05-24 01:53
2520361413,https://www.vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-70m2-aluguel-RS2000-id-2520361413/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Felipe Neves - Estreito, Florianópolis - SC",70,2 Quartos,1 Banheiro,1 Vaga,,R$ 2.000 /mês,R$ 420,Florianópolis,2021-05-24 01:53
2504741613,https://www.vivareal.com.br/imovel/apartamento-1-quartos-saco-grande-bairros-florianopolis-com-garagem-32m2-aluguel-RS900-id-2504741613/,"Apartamento com Quarto para Aluguel, 32m²","Rua Elpídio Brito de Vargas, 90 - Saco Grande, Florianópolis - SC",32,1 Quarto,1 Banheiro,1 Vaga,Garagem,R$ 900 /mês,,Florianópolis,2021-05-24 01:53
2512595909,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-75m2-aluguel-RS2570-id-2512595909/,"Apartamento com 2 Quartos para Aluguel, 75m²","Trindade, Florianópolis - SC",75,2 Quartos,2 Banheiros,1 Vaga,"Área de serviço
Churrasqueira
Ar-condicionado
TV a cabo
Cozinha",R$ 2.570 /mês,R$ 300,Florianópolis,2021-05-24 01:53
2490008884,https://www.vivareal.com.br/imovel/apartamento-2-quartos-carvoeira-bairros-florianopolis-com-garagem-73m2-aluguel-RS1600-id-2490008884/,"Apartamento com 2 Quartos para Aluguel, 73m²","Carvoeira, Florianópolis - SC",73,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Churrasqueira
Cozinha",R$ 1.600 /mês,R$ 425,Florianópolis,2021-05-24 01:53
